iter,compliance,vol_frac,target_vol,change,penalty,beta,dens_min,dens_max,dens_mean,dens_std,gray_frac,solid_frac,void_frac,sens_min,sens_max,sens_mean,max_disp,n_components,t_solve,t_filter,t_update
1,5907.795690167028,0.605285966483105,0.45728076,0.20000001788139343,1.0,1.0,0.13604508077197247,1.0,0.605285966483105,0.3963989542150033,0.52984619140625,0.47015380859375,0.0,-16.03490521923825,-1.7550394281364932e-07,-0.31007321179283365,92.90874550559636,1,1.9166808128356934,0.1620616912841797,1.9608707427978516
2,6335.5728316022205,0.46227076714809706,0.45728076,0.20000000000000007,1.0,1.0,8.028869415760641e-05,0.9998221258054764,0.46227076714809706,0.38842469301273364,0.54876708984375,0.07855224609375,0.3726806640625,-11.523861570324222,-1.7861884071257782e-06,-0.38605167156576115,104.27201474610351,1,1.7283802032470703,0.035855770111083984,1.7990686893463135
3,5795.760040452074,0.4579285331981995,0.45728076,0.20000000000000007,1.0,1.0,2.8697300697702903e-07,1.0,0.4579285331981995,0.41133298987868,0.352294921875,0.2694091796875,0.3782958984375,-11.128802019148495,-6.959678921685833e-07,-0.3016781266095487,96.47262373805052,1,1.6445305347442627,0.04915642738342285,1.6840627193450928
4,5637.068875391387,0.4565433872382881,0.45728076,0.20000000000000007,1.0,1.0,0.0,1.0,0.4565433872382881,0.4278682310946987,0.30279541015625,0.3157958984375,0.38140869140625,-11.042428221169484,-3.295231604491919e-07,-0.27680157694467444,92.56654974012612,1,1.7388062477111816,0.0273587703704834,1.7931370735168457
5,5531.728041358727,0.45584798854992115,0.45728076,0.20000000000000007,1.0,1.0,0.0,1.0,0.45584798854992115,0.45061999680134457,0.23040771484375,0.3685302734375,0.40106201171875,-11.000587206222955,-2.6327307745325675e-07,-0.2615824553556462,89.8429313199688,1,1.5968756675720215,0.03899788856506348,1.6468911170959473
6,5476.71967330614,0.45711557362031313,0.45728076,0.20000000000000007,1.0,1.0,0.0,1.0,0.45711557362031313,0.4666831241472835,0.13250732421875,0.39111328125,0.47637939453125,-10.983379919308174,-7.812314565722658e-07,-0.2535555893357394,88.12338070918578,1,1.3401727676391602,0.03447842597961426,1.387397050857544
7,5460.9338434620495,0.45732855415097223,0.45728076,0.20000000000000007,1.0,1.0,0.0,1.0,0.45732855415097223,0.4723136810840823,0.11083984375,0.400390625,0.48876953125,-10.975214094150877,-5.049685143114724e-07,-0.25150943347911614,87.70355517128218,1,1.3334341049194336,0.03163290023803711,1.3809454441070557
8,5455.631960332081,0.45730826615998565,0.45728076,0.20000000000000007,1.0,1.0,0.0,1.0,0.45730826615998565,0.47571633490934306,0.0950927734375,0.40960693359375,0.49530029296875,-10.971372698284735,-3.420960362992032e-07,-0.250987275542549,87.60720997239262,1,1.6340668201446533,0.031249284744262695,1.6809802055358887
9,5453.94270918879,0.45729469255853356,0.45728076,0.19999999999999996,1.0,1.0,0.0,1.0,0.45729469255853356,0.4775894759047459,0.08770751953125,0.4136962890625,0.49859619140625,-10.970075755424396,-2.8248886621106986e-07,-0.2509156575431414,87.61554230414174,1,1.851785659790039,0.03273153305053711,1.9042465686798096
10,5453.369907698457,0.45731769368670167,0.45728076,0.20000000000000007,1.0,1.0,0.0,1.0,0.45731769368670167,0.47850932236213944,0.08349609375,0.41552734375,0.5009765625,-10.96982659445617,-2.79484813675874e-07,-0.2509428318352731,87.65199597331933,1,1.7245416641235352,0.03549623489379883,1.7707195281982422
11,5453.003455948864,0.45733684471679403,0.45728076,0.19999999999999996,1.0,1.0,0.0,1.0,0.45733684471679403,0.47914690750083694,0.07989501953125,0.4168701171875,0.50323486328125,-10.969787808125355,-2.854461297409245e-07,-0.2509835998077824,87.67796566040855,1,2.1959009170532227,0.046639204025268555,2.2419936656951904
12,5452.730377558356,0.45736792209649785,0.45728076,0.20000000000000007,1.0,1.0,0.0,1.0,0.45736792209649785,0.4796198803419497,0.07769775390625,0.41754150390625,0.5047607421875,-10.969776014341628,-2.778194220388746e-07,-0.25102139391509065,87.68195078402903,1,1.5390524864196777,0.026555776596069336,1.5800199508666992
13,5452.532998607922,0.45737563198758807,0.45728076,0.19003546679450245,1.0,1.0,0.0,1.0,0.45737563198758807,0.47998960568816507,0.0760498046875,0.41845703125,0.5054931640625,-10.969753728604479,-2.8250935478082996e-07,-0.2510594738059868,87.69259816333852,1,1.439452886581421,0.026894807815551758,1.4811375141143799
14,5452.383301186298,0.45737520772110946,0.45728076,0.12085390645391447,1.0,1.0,0.0,1.0,0.45737520772110946,0.48028585545445956,0.07501220703125,0.41888427734375,0.506103515625,-10.969760191208817,-2.9107598316404256e-07,-0.25109412533159015,87.70938748459373,1,1.453218936920166,0.028897523880004883,1.4890072345733643
15,5452.259751524825,0.4573855867293866,0.45728076,0.13350951264736421,1.0,1.0,0.0,1.0,0.4573855867293866,0.4805244183406413,0.0740966796875,0.41949462890625,0.50640869140625,-10.969725812634268,-2.994005209998037e-07,-0.2511211638628473,87.72505438586319,1,1.5556058883666992,0.02581954002380371,1.605616569519043
16,5452.148999852119,0.4574021032213492,0.45728076,0.1507591466344248,1.0,1.0,0.0,1.0,0.4574021032213492,0.48072668457508017,0.07354736328125,0.41973876953125,0.5067138671875,-10.969729620028644,-3.073162387455901e-07,-0.2511419679005611,87.73714269279327,1,1.5807275772094727,0.0256655216217041,1.628077745437622
17,5452.068513260833,0.45739596839556906,0.45728076,0.14375904321751665,1.0,1.0,0.0,1.0,0.45739596839556906,0.48089920596041286,0.07318115234375,0.4197998046875,0.50701904296875,-10.96977272634412,-3.1502395094634714e-07,-0.25116355078603303,87.74904768944477,1,1.6213159561157227,0.03135323524475098,1.6679332256317139
18,5451.982051542519,0.4574137295021138,0.45728076,0.10556844294683565,1.0,1.0,0.0,1.0,0.4574137295021138,0.48105139273017195,0.072509765625,0.42010498046875,0.50738525390625,-10.96978909193244,-3.2136746288031364e-07,-0.25117573261714965,87.75734933559654,1,1.582226037979126,0.03240847587585449,1.6242289543151855
19,5451.932418216517,0.4574017737174855,0.45728076,0.11859024012660757,1.0,1.0,0.0,1.0,0.4574017737174855,0.4811733579958949,0.07183837890625,0.42041015625,0.50775146484375,-10.969794650529947,-3.274674865583957e-07,-0.25119029223976064,87.76674483896636,1,1.8453590869903564,0.03132891654968262,1.9027504920959473
20,5451.878740664657,0.45741077933121804,0.45728076,0.10671662716688679,1.0,1.0,0.0,1.0,0.45741077933121804,0.48128198087651364,0.0716552734375,0.42041015625,0.5079345703125,-10.969799847165714,-3.3257708962089284e-07,-0.2511979056668577,87.7722761555287,1,1.608064889907837,0.038466453552246094,1.6693220138549805
21,5453.676927747257,0.4574202013629776,0.45728076,0.11616671876979956,1.1,1.0,0.0,1.0,0.4574202013629776,0.48137832615029924,0.07110595703125,0.420654296875,0.50823974609375,-12.067331232660798,-5.989165919377068e-09,-0.2746156841187971,87.93433240662289,1,1.7398779392242432,0.046318769454956055,1.7894408702850342
22,5455.352543939908,0.45741598231233094,0.45728076,0.12853680654665467,1.2,1.0,0.0,1.0,0.45741598231233094,0.48151606638448247,0.07049560546875,0.421142578125,0.50836181640625,-13.165087920292034,6.056374428178396e-09,-0.2988089299568704,88.0626002056322,1,2.178494930267334,0.03275418281555176,2.263174057006836
23,5456.896067229429,0.45742087883267335,0.45728076,0.1335142843234126,1.3,1.0,0.0,1.0,0.45742087883267335,0.48167875408757965,0.06951904296875,0.4215087890625,0.50897216796875,-14.263078322357059,2.3454838582781215e-08,-0.32323909031631826,88.16101564154464,1,2.193869113922119,0.07457351684570312,2.2433407306671143
24,5458.336872224457,0.45742393345668797,0.45728076,0.15144631597090763,1.4,1.0,0.0,1.0,0.45742393345668797,0.4818448983998125,0.06878662109375,0.42205810546875,0.5091552734375,-15.36126686256931,8.446510838838179e-08,-0.34779539182417274,88.25077531708362,1,3.699216365814209,0.03297877311706543,3.81569242477417
25,5459.687283356578,0.45742263798001503,0.45728076,0.1526935026106957,1.5,1.0,0.0,1.0,0.45742263798001503,0.48200865130034803,0.068115234375,0.42254638671875,0.50933837890625,-16.459710695569346,5.32387717511195e-07,-0.37242413597220403,88.33906160352629,1,2.073988437652588,0.07216835021972656,2.1154720783233643
26,5460.944928060695,0.45743230459956574,0.45728076,0.1260242369562139,1.6,1.0,0.0,1.0,0.45743230459956574,0.48217037563804194,0.0672607421875,0.42291259765625,0.50982666015625,-17.55835042549836,9.983396853163119e-07,-0.3970954414573985,88.42148895423075,1,1.890927791595459,0.029710054397583008,1.996997356414795
27,5462.162954816711,0.45742197783801253,0.45728076,0.1587721041049529,1.7,1.0,0.0,1.0,0.45742197783801253,0.4823114469709317,0.066650390625,0.42315673828125,0.51019287109375,-18.657141246392214,1.1973621942267347e-06,-0.4218024035660165,88.50005540319135,1,5.188819885253906,0.07017111778259277,5.3265252113342285
28,5463.293709096161,0.45743350695339735,0.45728076,0.14293322116016483,1.8,1.0,0.0,1.0,0.45743350695339735,0.4824518356337041,0.0660400390625,0.4234619140625,0.510498046875,-19.756193350719723,1.3146724265079377e-06,-0.4465267902436317,88.56885365019197,1,4.941750526428223,0.09602022171020508,5.126337766647339
29,5464.3887745222955,0.4574278722305657,0.45728076,0.18427082175740084,1.9,1.0,0.0,1.0,0.4574278722305657,0.4825845153003032,0.065673828125,0.423583984375,0.5107421875,-20.85556793742602,1.4047197887698753e-06,-0.47127065932692425,88.63262366424844,1,4.902020215988159,0.11707782745361328,5.091221570968628
30,5465.426210461805,0.45742624092535594,0.45728076,0.15168399452676828,2.0,1.0,0.0,1.0,0.45742624092535594,0.48271497145188164,0.06475830078125,0.42413330078125,0.5111083984375,-21.955354069846504,1.4846407456020387e-06,-0.4960259856518855,88.69101333435329,1,4.742384910583496,0.08741426467895508,4.914576768875122
31,5466.421246920118,0.4574249108781148,0.45728076,0.132271599277493,2.1,1.0,0.0,1.0,0.4574249108781148,0.48284101841031746,0.06439208984375,0.42431640625,0.51129150390625,-23.055410553071148,1.7029446716788495e-06,-0.5207921310706252,88.743897801139,1,4.64918065071106,0.1317150592803955,4.756750106811523
32,5467.38331197082,0.4574236710466424,0.45728076,0.1641038845350976,2.2,1.0,0.0,1.0,0.4574236710466424,0.482955176465762,0.06396484375,0.42449951171875,0.51153564453125,-24.155518338314607,2.316079490628712e-06,-0.5455699485431618,88.79378641297993,1,4.47138524055481,0.07136154174804688,4.578577280044556
33,5468.310970537663,0.45741803156018723,0.45728076,0.12160200361570828,2.3,1.0,0.0,1.0,0.45741803156018723,0.4830667341892203,0.06329345703125,0.4249267578125,0.51177978515625,-25.255937230614908,2.7449239635536813e-06,-0.5703558090805214,88.84112717107426,1,2.353058338165283,0.07137870788574219,2.3917877674102783
34,5469.213307237478,0.4574121518751367,0.45728076,0.14358889384182494,2.4,1.0,0.0,1.0,0.4574121518751367,0.4831684908547719,0.06292724609375,0.42510986328125,0.511962890625,-26.356310932139372,3.079910287895999e-06,-0.5951515575409065,88.88692806984218,1,1.6109788417816162,0.028119802474975586,1.653651237487793
35,5470.086301468688,0.4574091740792576,0.45728076,0.1530435304218397,2.5,1.0,0.0,1.0,0.4574091740792576,0.4832608236423798,0.062255859375,0.425537109375,0.51220703125,-27.45673259751058,3.3630652734506247e-06,-0.619954590563917,88.92932294166422,1,1.6407573223114014,0.027979135513305664,1.6840686798095703
36,5470.917048966064,0.45741173270525304,0.45728076,0.17828933419070314,2.6,1.0,0.0,1.0,0.45741173270525304,0.48335778405005386,0.0618896484375,0.42584228515625,0.51226806640625,-28.557484338870356,3.615816725385434e-06,-0.6447592494514117,88.96604372065909,1,1.6397852897644043,0.02808070182800293,1.6826603412628174
37,5471.737638347008,0.457404673072466,0.45728076,0.14183550923037813,2.7,1.0,0.0,1.0,0.457404673072466,0.48344346674693406,0.06146240234375,0.426025390625,0.51251220703125,-29.658394996657332,3.849176929319179e-06,-0.6695736754126062,89.00186489135635,1,1.69089937210083,0.028746604919433594,1.7328574657440186
38,5472.533182696392,0.45740306778805523,0.45728076,0.1551562318372124,2.8,1.0,0.0,1.0,0.45740306778805523,0.48351898930205645,0.06109619140625,0.42620849609375,0.5126953125,-30.75937979697781,4.068587407944606e-06,-0.6943958376366393,89.03887583562759,1,1.7895400524139404,0.02834916114807129,1.8382365703582764
39,5473.304008667368,0.45740315684670135,0.45728076,0.14068957452959718,2.9,1.0,0.0,1.0,0.45740315684670135,0.48358663262432744,0.0609130859375,0.42626953125,0.5128173828125,-31.860501572973433,4.278878262332236e-06,-0.7192244982353349,89.07664837873652,1,3.8520724773406982,0.03338623046875,3.9584803581237793
40,5474.062192874085,0.4574012457727956,0.45728076,0.1462546214307766,3.0,1.0,0.0,1.0,0.4574012457727956,0.4836517100062855,0.0604248046875,0.426513671875,0.5130615234375,-32.961712988590655,4.482540682897809e-06,-0.7440588617692928,89.10961055550828,1,1.7178127765655518,0.06678199768066406,1.7632524967193604
41,5473.29988490265,0.4574285798840637,0.45728076,0.12466674940216482,3.0,1.148698354997035,0.0,1.0,0.4574285798840637,0.48396948324431904,0.05902099609375,0.42724609375,0.51373291015625,-31.368528283654182,4.237726192589467e-06,-0.7082893474102142,89.06019310369805,1,2.100313425064087,0.03078627586364746,2.1501481533050537
42,5472.387493959399,0.4574679306829418,0.45728076,0.11566888929634989,3.0,1.3195079107728942,0.0,1.0,0.4574679306829418,0.48434124223469444,0.0574951171875,0.42803955078125,0.51446533203125,-29.42315200777571,3.937603432229004e-06,-0.6646340823319655,89.00434266339063,1,4.042853355407715,0.03297543525695801,4.097802639007568
43,5471.304183719872,0.45751649519982585,0.45728076,0.0879218000203914,3.0,1.515716566510398,0.0,1.0,0.45751649519982585,0.4847838280035976,0.05572509765625,0.42919921875,0.51507568359375,-27.09937000644499,3.578484854610192e-06,-0.6124986164141818,88.93824930753634,1,3.5678372383117676,0.03589797019958496,3.610048294067383
44,5470.041763699557,0.45757072724821307,0.45728076,0.09191312623141024,3.0,1.7411011265922482,0.0,1.0,0.45757072724821307,0.4853081610866553,0.053466796875,0.43035888671875,0.51617431640625,-24.397577026266017,3.1609191884970527e-06,-0.5518877760330073,88.85691101478895,1,2.299861431121826,0.028502225875854492,2.3441643714904785
45,5468.585922347791,0.45763662758787643,0.45728076,0.09254166337551883,3.0,2.0,0.0,1.0,0.45763662758787643,0.4859224076224094,0.05029296875,0.43218994140625,0.51751708984375,-21.357809801536803,2.690121774117751e-06,-0.4836931694793647,88.7602626727263,1,1.921811819076538,0.02968764305114746,1.9646222591400146
46,5466.9424974870735,0.4577163574728498,0.45728076,0.07872244192824018,3.0,2.2973967099940698,0.0,1.0,0.4577163574728498,0.48663229950784664,0.048095703125,0.43316650390625,0.51873779296875,-18.06985469926806,2.1793831627865653e-06,-0.40991910702338796,88.64793871789357,1,1.9121873378753662,0.030219554901123047,1.964000940322876
47,5465.140023800596,0.45781549353808465,0.45728076,0.10007813746095451,3.0,2.6390158215457884,0.0,1.0,0.45781549353808465,0.4874298946314337,0.0450439453125,0.434814453125,0.5201416015625,-14.674672135576992,1.6502001748721556e-06,-0.3337210163180423,88.52088247553773,1,2.014030933380127,0.035887718200683594,2.066159725189209
48,5463.212186158282,0.4579564356138684,0.45728076,0.13524814648781436,3.0,3.0314331330207964,0.0,1.0,0.4579564356138684,0.4883004005316586,0.0413818359375,0.436767578125,0.5218505859375,-11.3525121205025,1.1301244973003236e-06,-0.25913501376362236,88.38049440585606,1,1.9637703895568848,0.03120708465576172,2.006065845489502
49,5461.209502515428,0.4581708593097258,0.45728076,0.14835429733115169,3.0,3.4822022531844965,0.0,1.0,0.4581708593097258,0.48922240362542896,0.03692626953125,0.439697265625,0.52337646484375,-8.296104905070628,6.492359534998456e-07,-0.19048143034687806,88.22832417076772,1,1.9503967761993408,0.03403329849243164,1.9914748668670654
50,5459.164655122557,0.45850890182157794,0.45728076,0.20000000000000007,3.0,4.0,0.0,1.0,0.45850890182157794,0.49018882827432564,0.0333251953125,0.44189453125,0.5247802734375,-5.673892186407544,4.236342529989086e-07,-0.1315242101506531,88.06090017378062,1,2.096348762512207,0.030430078506469727,2.1405751705169678
51,5457.136203569237,0.4590005957767088,0.45728076,0.20000000000000007,3.0,4.59479341998814,0.0,1.0,0.4590005957767088,0.4911812295051146,0.029296875,0.44439697265625,0.52630615234375,-3.594297108936547,2.9297728111135815e-07,-0.0846968843927504,87.87666909370088,1,2.0520083904266357,0.030922412872314453,2.095609426498413
52,5455.085183744146,0.4597738225060901,0.45728076,0.20000000000000007,3.0,5.278031643091577,0.0,1.0,0.4597738225060901,0.4922185486738431,0.024658203125,0.44757080078125,0.52777099609375,-2.084593193275539,2.0634153912519198e-07,-0.05059442556297955,87.68267048035457,1,2.0399298667907715,0.0302278995513916,2.0857651233673096
53,5453.070627878058,0.46075792596788523,0.45728076,0.20000000000000007,3.0,6.062866266041593,0.0,1.0,0.46075792596788523,0.49323245173733044,0.02093505859375,0.449951171875,0.52911376953125,-1.0923027698966044,1.5238667693098197e-07,-0.028034807625008793,87.51217211573764,1,2.109851360321045,0.03044438362121582,2.1671111583709717
54,5451.16961517557,0.4618975879415775,0.45728076,0.20000000000000007,3.0,6.964404506368992,0.0,1.0,0.4618975879415775,0.4941911204859222,0.01763916015625,0.45281982421875,0.529541015625,-0.5094185302583297,1.1667212310947885e-07,-0.014601169597510302,87.35343631837316,1,2.1776559352874756,0.0423126220703125,2.238417863845825
55,5449.449408067241,0.46310959880186026,0.45728076,0.20000000000000007,3.0,8.0,0.0,1.0,0.46310959880186026,0.4950000520052695,0.01483154296875,0.45526123046875,0.5299072265625,-0.20772599830217478,9.611495688507765e-08,-0.007504966855408373,87.2109043430607,1,2.008345603942871,0.04179668426513672,2.051673650741577
